latent_id,activation,lemma,present_phones,past_phones
2,1.044033169746399,pock,P AA K,P AA K T
2,1.0436911582946777,section,S EH K SH AH N,S EH K SH AH N D
2,1.0431820154190063,leak,L IY K,L IY K T
2,1.043075442314148,encourage,EH N K ER IH JH,EH N K ER IH JH D
2,1.0425366163253784,lock,L AA K,L AA K T
2,1.0423029661178589,text,T EH K S T,T EH K S T IH D
2,1.0417088270187378,cake,K EY K,K EY K T
2,1.0414507389068604,box,B AA K S,B AA K S T
2,1.0413035154342651,mix,M IH K S,M IH K S T
2,1.041014552116394,cycle,S AY K AH L,S AY K AH L D
2,1.040971040725708,tack,T AE K,T AE K T
2,1.0407849550247192,hack,HH AE K,HH AE K T
2,1.0406553745269775,pick,P IH K,P IH K T
2,1.0404261350631714,lick,L IH K,L IH K T
2,1.040328025817871,hike,HH AY K,HH AY K T
2,1.04024338722229,wreak,R IY K,R IY K T
2,1.0398415327072144,tax,T AE K S,T AE K S T
2,1.0394436120986938,lurk,L ER K,L ER K T
2,1.0393247604370117,sex,S EH K S,S EH K S T
2,1.0392550230026245,fax,F AE K S,F AE K S T
2,1.0391597747802734,rock,R AA K,R AA K T
2,1.0389641523361206,bike,B AY K,B AY K T
2,1.038938283920288,perk,P ER K,P ER K T
2,1.0388716459274292,back,B AE K,B AE K T
2,1.038549542427063,juxtapose,JH AH K S T AH P OW Z,JH AH K S T AH P OW Z D
2,1.0382789373397827,locate,L OW K EY T,L OW K EY T AH D
2,1.0382318496704102,nickname,N IH K N EY M,N IH K N EY M D
2,1.0376006364822388,poke,P OW K,P OW K T
2,1.0375603437423706,shock,SH AA K,SH AA K T
2,1.0373377799987793,factor,F AE K T ER,F AE K T ER D
2,1.0373107194900513,knuckle,N AH K AH L,N AH K AH L D
2,1.0368340015411377,pack,P AE K,P AE K T
2,1.0367069244384766,max,M AE K S,M AE K S T
2,1.0362259149551392,recast,R IY K AE S T,R IY K AE S T
2,1.036110520362854,like,L AY K,L AY K T
2,1.035930871963501,recruit,R AH K R UW T,R IH K R UW T IH D
2,1.0354498624801636,tickle,T IH K AH L,T IH K AH L D
2,1.0354124307632446,recuse,R IH K Y UW Z,R IH K Y UW Z D
2,1.0350592136383057,focus,F OW K AH S,F OW K AH S T
2,1.034177303314209,rack,R AE K,R AE K T
2,1.034177303314209,wrack,R AE K,R AE K T
2,1.0341336727142334,cook,K UH K,K UH K T
2,1.0338717699050903,shirk,SH ER K,SH ER K T
2,1.0338239669799805,escort,EH S K AO R T,EH S K AO R T IH D
2,1.0333670377731323,decrease,D IH K R IY S,D IH K R IY S T
2,1.0325891971588135,tackle,T AE K AH L,T AE K AH L D
2,1.0324230194091797,decree,D IH K R IY,D IH K R IY D
2,1.0324223041534424,backset,B AE K S EH T,B AE K S EH T
2,1.0313488245010376,duke,D UW K,D UW K T
2,1.0311925411224365,fuck,F AH K,F AH K T
2,1.0310724973678589,decry,D IH K R AY,D IH K R AY D
2,1.0310724973678589,second,S EH K AH N D,S EH K AH N D IH D
2,1.030683159828186,pickle,P IH K AH L,P IH K AH L D
2,1.030644178390503,tuck,T AH K,T AH K T
2,1.0300543308258057,archive,AA R K AY V,AA R K AY V D
2,1.0294885635375977,take,T EY K,T UH K
2,1.0290591716766357,buck,B AH K,B AH K T
2,1.0289920568466187,vex,V EH K S,V EH K S T
2,1.0288687944412231,fake,F EY K,F EY K T
2,1.0288368463516235,jacket,JH AE K AH T,JH AE K AH T IH D
2,1.0286732912063599,vacate,V EY K EY T,V EY K EY T IH D
2,1.0282865762710571,secrete,S IH K R IY T,S AH K R IY T IH D
2,1.0274553298950195,bake,B EY K,B EY K T
2,1.0269547700881958,backpedal,B AE K P EH D AH L,B AE K P EH D AH L D
2,1.0267702341079712,decline,D IH K L AY N,D IH K L AY N D
2,1.0262242555618286,make,M EY K,M EY D
2,1.0261229276657104,beckon,B EH K AH N,B EH K AH N D
2,1.0258727073669434,reconvene,R IY K AH N V IY N,R IY K AH N V IY N D
2,1.0255100727081299,recuperate,R IH K UW P ER EY T,R IH K UW P ER EY T IH D
2,1.0254842042922974,taxi,T AE K S IY,T AE K S IY D
2,1.0253351926803589,wreck,R EH K,R EH K T
2,1.024943232536316,increment,IH N K R AH M AH N T,IH N K R AH M EH N T IH D
2,1.0243289470672607,shackle,SH AE K AH L,SH AE K AH L D
2,1.0236128568649292,heckle,HH EH K AH L,HH EH K AH L D
2,1.023409366607666,shuck,SH AH K,SH AH K T
2,1.0224922895431519,hook,HH UH K,HH UH K T
2,1.0216281414031982,recreate,R EH K R IY EY T,R EH K R IY EY T IH D
2,1.021608829498291,rake,R EY K,R EY K T
2,1.0209516286849976,book,B UH K,B UH K T
2,1.02081298828125,shake,SH EY K,SH UH K
2,1.0198262929916382,seclude,S AH K L UW D,S IH K L UW D IH D
2,1.019804835319519,buckle,B AH K AH L,B AH K AH L D
2,1.0193601846694946,look,L UH K,L UH K T
2,1.0183391571044922,hawk,HH AO K,HH AO K T
2,1.018267035484314,picture,P IH K CH ER,P IH K CH ER D
2,1.0167145729064941,outclass,AW T K L AE S,AW T K L AE S T
2,1.016640305519104,balk,B AO K,B AO K T
2,1.0164775848388672,jerk,JH ER K,JH ER K T
2,1.0158333778381348,include,IH N K L UW D,IH N K L UW D AH D
2,1.0143911838531494,decontrol,D IY K AH N T R OW L,D IY K AH N T R OW L D
2,1.0133695602416992,victimize,V IH K T AH M AY Z,V IH K T AH M AY Z D
2,1.0125550031661987,declare,D IH K L EH R,D IH K L EH R D
2,1.0120068788528442,chick,CH IH K,CH IH K T
2,1.0114386081695557,escape,IH S K EY P,IH S K EY P T
2,1.011395812034607,request,R IH K W EH S T,R IH K W EH S T IH D
2,1.011369228363037,showcase,SH OW K EY S,SH OW K EY S T
2,1.0113450288772583,joke,JH OW K,JH OW K T
2,1.011295199394226,choke,CH OW K,CH OW K T
2,1.0105494260787964,increase,IH N K R IY S,IH N K R IY S T
2,1.0102081298828125,jack,JH AE K,JH AE K T
2,1.0087549686431885,rectify,R EH K T AH F AY,R EH K T AH F AY D
2,1.008299708366394,maximize,M AE K S AH M AY Z,M AE K S AH M AY Z D
2,1.0068151950836182,recline,R IH K L AY N,R IH K L AY N D
2,1.0063793659210205,chicken,CH IH K AH N,CH IH K AH N D
2,1.0056638717651367,require,R IY K W AY ER,R IY K W AY ER D
2,1.0052021741867065,lecture,L EH K CH ER,L EH K CH ER D
2,1.0050770044326782,hackney,HH AE K N IY,HH AE K N IY D
2,1.0049362182617188,incline,IH N K L AY N,IH N K L AY N D
2,1.00359308719635,decontaminate,D IY K AH N T AE M AH N EY T,D IY K AH N T AE M AH N EY T IH D
2,1.0024418830871582,check,CH EH K,CH EH K T
2,1.0007914304733276,recommit,R IH K AA M IH T,R IY K AH M IH T IH D
2,1.0006965398788452,encode,EH N K OW D,EH N K OW D IH D
2,1.0005395412445068,chuck,CH AH K,CH AH K T
2,0.9998275637626648,sequester,S IH K W EH S T ER,S IH K W EH S T ER D
2,0.9996057748794556,backhand,B AE K HH AE N D,B AE K HH AE N D IH D
2,0.9975417256355286,reclaim,R IY K L EY M,R IY K L EY M D
2,0.9975391626358032,liquefy,L IH K W AH F AY,L IH K W AH F AY D
2,0.9961038827896118,secure,S IH K Y UH R,S IH K Y UH R D
2,0.994878888130188,texture,T EH K S CH ER,T EH K S CH ER D
2,0.9941995143890381,inquire,IH N K W AY R,IH N K W AY ER D
2,0.9910575747489929,reconstitute,R IY K AA N S T AH T UW T,R IY K AA N S T AH T UW T IH D
2,0.9898173809051514,recognise,R EH K AH G N AY Z,R EH K AH G N AY Z D
2,0.9898173809051514,recognize,R EH K AH G N AY Z,R EH K AH G N AY Z D
2,0.988441526889801,document,D AA K Y AH M EH N T,D AA K Y AH M EH N T AH D
2,0.9874507784843445,reconfigure,R IY K AH N F IH G Y ER,R IY K AH N F IH G Y ER D
2,0.9872409105300903,record,R AH K AO R D,R AH K AO R D IH D
2,0.9867376089096069,chuckle,CH AH K AH L,CH AH K AH L D
2,0.9779562950134277,recount,R IH K AW N T,R IH K AW N T IH D
2,0.9771263599395752,liquidate,L IH K W IH D EY T,L IH K W IH D EY T IH D
2,0.9771243929862976,backfire,B AE K F AY R,B AE K F AY ER D
2,0.9736285209655762,decode,D IH K OW D,D IH K OW D AH D
2,0.9696094989776611,boycott,B OY K AA T,B OY K AA T IH D
2,0.9688917994499207,backlog,B AE K L AA G,B AE K L AA G D
2,0.966571569442749,enclose,IH N K L OW Z,EH N K L OW Z D
2,0.965212881565094,recapitalize,R IY K AE P IH T AH L AY Z,R IY K AE P IH T AH L AY Z D
2,0.9641571640968323,declassify,D IH K L AE S AH F AY,D IH K L AE S AH F AY D
2,0.9627240896224976,rekindle,R IY K IH N D AH L,R IY K IH N D AH L D
2,0.9621433615684509,microwave,M AY K R AH W EY V,M AY K R OW W EY V D
2,0.9606673717498779,reconcile,R EH K AH N S AY L,R EH K AH N S AY L D
2,0.9567168951034546,backlist,B AE K L IH S T,B AE K L IH S T IH D
2,0.9536424279212952,circumscribe,S ER K AH M S K R AY B,S ER K AH M S K R AY B D
2,0.9514126181602478,package,P AE K AH JH,P AE K IH JH D
2,0.9316862225532532,bequeath,B IH K W IY TH,B AH K W IY TH T
2,0.9312468767166138,micromanage,M AY K R OW M AE N IH JH,M AY K R OW M AE N IH JH D
2,0.9148906469345093,unclassify,AH N K L AE S IH F AY,AH N K L AE S IH F AY D
2,0.9111847281455994,backdate,B AE K D EY T,B AE K D EY T IH D
2,0.9070920944213867,recalculate,R IY K AE L K Y AH L EY T,R IY K AE L K Y AH L EY T IH D
2,0.9059708118438721,encroach,IH N K R OW CH,IH N K R OW CH T
2,0.9026833176612854,inconvenience,IH N K AH N V IY N Y AH N S,IH N K AH N V IY N Y AH N S T
2,0.8969022035598755,uncomplicate,AH N K AA M P L AH K EY T,AH N K AA M P L AH K EY T IH D
2,0.8944718241691589,reclassify,R IY K L AE S IH F AY,R IY K L AE S AH F AY D
2,0.8824985027313232,fictionalize,F IH K SH AH N AH L AY Z,F IH K SH AH N AH L AY Z D
2,0.7923380732536316,orchestrate,AO R K IH S T R EY T,AO R K IH S T R EY T IH D
2,0.7669339179992676,securitize,S IH K Y UH R AH T AY Z,S IH K Y UH R AH T AY Z D
2,0.1501225084066391,measure,M EH ZH ER,M EH ZH ER D
2,0.1300298124551773,behave,B IH HH EY V,B IH HH EY V D
2,0.12232708930969238,spark,S P AA R K,S P AA R K T
2,0.10957662761211395,dodge,D AA JH,D AA JH D
2,0.108849436044693,wise,W AY Z,W AY Z D
2,0.10545620322227478,surge,S ER JH,S ER JH D
2,0.10524964332580566,keep,K IY P,K EH P T
2,0.10446058213710785,wine,W AY N,W AY N D
2,0.10230043530464172,seep,S IY P,S IY P T
2,0.10018083453178406,serve,S ER V,S ER V D
2,0.0997239351272583,cap,K AE P,K AE P T
2,0.09640631079673767,heave,HH IY V,HH IY V D
2,0.09312373399734497,cage,K EY JH,K EY JH D
2,0.09109462797641754,tire,T AY ER,T AY ER D
2,0.08987677097320557,purge,P ER JH,P ER JH D
2,0.08908455073833466,dine,D AY N,D AY N D
2,0.08722200989723206,buffet,B AH F AH T,B AH F EY D
2,0.08547180891036987,teeter,T IY T ER,T IY T ER D
2,0.08523207902908325,save,S EY V,S EY V D
2,0.0824238508939743,censure,S EH N SH ER,S EH N SH ER D
2,0.07923910021781921,crater,K R EY T ER,K R EY T ER D
2,0.07716822624206543,fine,F AY N,F AY N D
2,0.07617449760437012,tan,T AE N,T AE N D
2,0.07116534560918808,set,S EH T,S EH T
2,0.0640106350183487,fester,F EH S T ER,F EH S T ER D
5,1.1036839485168457,breathe,B R IY DH,B R IY DH D
5,0.9279074668884277,presplit,P R IY S P L IH T,P R IY S P L IH T
5,0.8952664732933044,alleviate,AH L IY V IY EY T,AH L IY V IY EY T IH D
5,0.8441640138626099,please,P L IY Z,P L IY Z D
5,0.8436939120292664,glean,G L IY N,G L IY N D
5,0.8326858282089233,gleam,G L IY M,G L IY M D
5,0.8292353749275208,preempt,P R IY EH M P T,P R IY EH M P T IH D
5,0.8290706872940063,buoy,B UW IY,B UW IY D
5,0.826870322227478,idealize,AY D IY L AY Z,AY D IY AH L AY Z D
5,0.8223634958267212,achieve,AH CH IY V,AH CH IY V D
5,0.8154588341712952,sneeze,S N IY Z,S N IY Z D
5,0.8125573396682739,breeze,B R IY Z,B R IY Z D
5,0.8054202198982239,appease,AH P IY Z,AH P IY Z D
5,0.8041561841964722,precast,P R IY K AE S T,P R IY K AE S T
5,0.8037582635879517,sleeve,S L IY V,S L IY V D
5,0.7974444627761841,clean,K L IY N,K L IY N D
5,0.7959736585617065,bleed,B L IY D,B L EH D
5,0.7945084571838379,ski,S K IY,S K IY D
5,0.790784478187561,ameliorate,AH M IY L Y ER EY T,AH M IY L Y ER EY T IH D
5,0.787293016910553,tweak,T W IY K,T W IY K T
5,0.7854279279708862,scheme,S K IY M,S K IY M D
5,0.7853915095329285,green,G R IY N,G R IY N D
5,0.7797336578369141,prearrange,P R IY ER EY N JH,P R IY ER EY N JH D
5,0.7792460918426514,preoccupy,P R IY AA K Y AH P AY,P R IY AA K Y AH P AY D
5,0.7785993218421936,sleep,S L IY P,S L EH P T
5,0.7762830853462219,snee,S N IY,S N IY D
5,0.7735764384269714,cleave,K L IY V,K L EH F T
5,0.7732994556427002,plead,P L IY D,P L IY D IH D
5,0.7700416445732117,bereave,B ER IY V,B ER IY V D
5,0.7698582410812378,prefabricate,P R IY F AE B R IH K EY T,P R IY F AE B R IH K EY T IH D
5,0.7672401070594788,hurry,HH ER IY,HH ER IY D
5,0.7669686079025269,sneak,S N IY K,S N IY K T
5,0.7659457921981812,flee,F L IY,F L EH D
5,0.7639599442481995,steamroller,S T IY M R OW L ER,S T IY M R OW L ER D
5,0.7629034519195557,grieve,G R IY V,G R IY V D
5,0.761052131652832,dream,D R IY M,D R IY M D
5,0.7599067687988281,shriek,SH R IY K,SH R IY K T
5,0.7596525549888611,orient,AO R IY EH N T,AO R IY EH N T AH D
5,0.7581510543823242,careen,K ER IY N,K ER IY N D
5,0.7581284642219543,grease,G R IY S,G R IY S T
5,0.7566110491752625,steal,S T IY L,S T OW L
5,0.754622220993042,bleach,B L IY CH,B L IY CH T
5,0.7514762878417969,preen,P R IY N,P R IY N D
5,0.750292956829071,freeze,F R IY Z,F R OW Z
5,0.7492145299911499,speak,S P IY K,S P OW K
5,0.7483250498771667,worry,W ER IY,W ER IY D
5,0.7391733527183533,breed,B R IY D,B R EH D
5,0.7390738725662231,fleece,F L IY S,F L IY S T
5,0.7377732396125793,cremate,K R IY M EY T,K R IY M EY T IH D
5,0.7344305515289307,create,K R IY EY T,K R IY EY T AH D
5,0.729518473148346,tweet,T W IY T,T W IY T IH D
5,0.7284627556800842,brief,B R IY F,B R IY F T
5,0.7278168201446533,creak,K R IY K,K R IY K T
5,0.7257468700408936,speed,S P IY D,S P EH D
5,0.7248952388763428,predate,P R IY D EY T,P R IY D EY T IH D
5,0.7213400602340698,query,K W IY R IY,K W IH R IY D
5,0.7197170257568359,predetermine,P R IY D IH T ER M AH N,P R IY D IY T ER M IH N D
5,0.7158606052398682,creolize,K R IY OW L AY Z,K R IY OW L AY Z D
5,0.7138397097587585,greet,G R IY T,G R IY T AH D
5,0.7065462470054626,prejudge,P R IY JH AH JH,P R IY JH AH JH D
5,0.700447678565979,prepay,P R IY P EY,P R IY P EY D
5,0.6991205215454102,steep,S T IY P,S T IY P T
5,0.6985639929771423,breach,B R IY CH,B R IY CH T
5,0.6979784369468689,freak,F R IY K,F R IY K T
5,0.692695140838623,treat,T R IY T,T R IY T IH D
5,0.6924465894699097,creep,K R IY P,K R EH P T
5,0.6743655800819397,preach,P R IY CH,P R IY CH T
5,0.6646586656570435,cliche,K L IY SH EY,K L IY SH EY D
5,0.6632410287857056,alienate,EY L Y AH N EY T,EY L IY AH N EY T IH D
5,0.6376897692680359,prepare,P R IY P EH R,P R IY P EH R D
5,0.632344126701355,premeditate,P R IY M EH D AH T EY T,P R IY M EH D AH T EY T IH D
5,0.6278104186058044,prepackage,P R IY P AE K AH JH,P R IY P AE K AH JH D
5,0.6253387928009033,preset,P R IY S EH T,P R IY S EH T
5,0.5591860413551331,able,EY B AH L,EY B AH L D
5,0.5546265244483948,aim,EY M,EY M D
5,0.5527932643890381,preview,P R IY V Y UW,P R IY V Y UW D
5,0.5427678823471069,ache,EY K,EY K T
5,0.5087364912033081,age,EY JH,EY JH D
5,0.4975360631942749,ace,EY S,EY S T
5,0.3937546908855438,swathe,S W AA DH,S W AA DH D
5,0.3932976722717285,smooth,S M UW DH,S M UW DH D
5,0.3809705972671509,clothe,K L OW DH,K L AE D
5,0.3736168146133423,slather,S L AE DH ER,S L AE DH ER D
5,0.29353129863739014,smother,S M AH DH ER,S M AH DH ER D
5,0.20185895264148712,amplify,AE M P L AH F AY,AE M P L AH F AY D
5,0.1639203429222107,classify,K L AE S AH F AY,K L AE S AH F AY D
5,0.1272142082452774,tune,T UW N,T UW N D
5,0.11082929372787476,betake,B IY T EY K,B EH T UH K
5,0.10432431101799011,burn,B ER N,B ER N D
5,0.08735072612762451,bless,B L EH S,B L EH S T
6,2.2982027530670166,accomplish,AH K AA M P L IH SH,AH K AA M P L IH SH T
6,2.273961305618286,establish,IH S T AE B L IH SH,IH S T AE B L IH SH T
6,2.2527694702148438,undernourish,AH N D ER N ER IH SH,AH N D ER N ER IH SH T
6,2.2362096309661865,impoverish,IH M P AA V R IH SH,IH M P AA V R IH SH T
6,2.2289488315582275,replenish,R IY P L EH N IH SH,R IY P L EH N IH SH T
6,1.638885736465454,institutionalize,IH N S T IH T UW SH AH N AH L AY Z,IH N S T IH T UW SH AH N AH L AY Z D
6,1.48081636428833,malfunction,M AE L F AH NG K SH AH N,M AE L F AH NG K SH AH N D
6,0.7206650972366333,conscript,K AA N S K R IH P T,K AH N S K R IH P T IH D
6,0.6679794788360596,reinstitute,R IY IH N S T IH T UW T,R IY IH N S T IH T UW T IH D
6,0.5664007663726807,disconnect,D IH S K AH N EH K T,D IH S K AH N EH K T IH D
6,0.5651507377624512,consolidate,K AH N S AA L IH D EY T,K AH N S AA L AH D EY T AH D
6,0.539695143699646,prejudice,P R EH JH AH D IH S,P R EH JH AH D AH S T
6,0.5208687782287598,reconfigure,R IY K AH N F IH G Y ER,R IY K AH N F IH G Y ER D
6,0.5119150280952454,inaugurate,IH N AO G Y ER IH T,IH N AO G ER EY T IH D
6,0.5028300881385803,astonish,AH S T AA N IH SH,AH S T AA N IH SH T
6,0.5008386373519897,dehumidify,D IY HH Y UW M IH D AH F AY,D IY HH Y UW M IH D AH F AY D
6,0.5004299283027649,precipitate,P R IH S IH P IH T EY T,P R IH S IH P IH T EY T IH D
6,0.45876893401145935,presplit,P R IY S P L IH T,P R IY S P L IH T
6,0.4308110773563385,underinsure,AH N D ER IH N SH AO R,AH N D ER IH N SH AO R D
6,0.384061336517334,interlink,IH N T ER L IH NG K,IH N T ER L IH NG K T
6,0.37560680508613586,counterbid,K AW N T ER B IH D,K AW N T ER B IH D
6,0.3568744659423828,hamstring,HH AE M S T R IH NG,HH AE M S T R AH NG
6,0.32204902172088623,underserve,AH N D ER S ER V,AH N D ER S ER V D
6,0.24442818760871887,immunize,IH M Y UW N AY Z,IH M Y AH N AY Z D
6,0.21578863263130188,throttle,TH R AA T AH L,TH R AA T AH L D
6,0.20709964632987976,relend,R IY L EH N D,R IH L EH N T
6,0.10957634449005127,shape,SH EY P,SH EY P T
7,0.9893133640289307,stumble,S T AH M B AH L,S T AH M B AH L D
7,0.9684497714042664,grumble,G R AH M B AH L,G R AH M B AH L D
7,0.9677353501319885,enfeeble,EH N F IY B AH L,EH N F IY B AH L D
7,0.9459648728370667,uncomplicate,AH N K AA M P L AH K EY T,AH N K AA M P L AH K EY T IH D
7,0.9245614409446716,redouble,R IY D AH B AH L,R IY D AH B AH L D
7,0.9225917458534241,crumble,K R AH M B AH L,K R AH M B AH L D
7,0.9117007255554199,spangle,S P AE NG G AH L,S P AE NG G AH L D
7,0.9020200371742249,tremble,T R EH M B AH L,T R EH M B AH L D
7,0.8970125913619995,assemble,AH S EH M B AH L,AH S EH M B AH L D
7,0.8950682282447815,squabble,S K W AA B AH L,S K W AA B AH L D
7,0.8948351740837097,remodel,R IY M AA D AH L,R IY M AA D AH L D
7,0.8764968514442444,exemplify,IH G Z EH M P L AH F AY,IH G Z EH M P L AH F AY D
7,0.8739258646965027,disable,D IH S EY B AH L,D IH S EY B AH L D
7,0.8429011702537537,entitle,EH N T AY T AH L,EH N T AY T AH L D
7,0.8383735418319702,scribble,S K R IH B AH L,S K R IH B AH L D
7,0.8359532952308655,swindle,S W IH N D AH L,S W IH N D AH L D
7,0.8351483345031738,dwindle,D W IH N D AH L,D W IH N D AH L D
7,0.8280730843544006,straddle,S T R AE D AH L,S T R AE D AH L D
7,0.8273177742958069,trundle,T R AH N D AH L,T R AH N D AH L D
7,0.8244741559028625,bedevil,B IH D EH V AH L,B IH D EH V AH L D
7,0.8225803971290588,struggle,S T R AH G AH L,S T R AH G AH L D
7,0.8178043961524963,befuddle,B IH F AH D AH L,B IH F AH D AH L D
7,0.8168158531188965,unsettle,AH N S EH T AH L,AH N S EH T AH L D
7,0.8164963722229004,twinkle,T W IH NG K AH L,T W IH NG K AH L D
7,0.8155226111412048,trample,T R AE M P AH L,T R AE M P AH L D
7,0.8138781189918518,dishevel,D IH SH EH V AH L,D IH SH EH V AH L D
7,0.8127993941307068,straggle,S T R AE G AH L,S T R AE G AH L D
7,0.809576690196991,startle,S T AA R T AH L,S T AA R T AH L D
7,0.7993844151496887,embattle,EH M B AE T AH L,EH M B AE T AH L D
7,0.7930985689163208,refuel,R IY F Y UW AH L,R IY F Y UW AH L D
7,0.7891495823860168,formulate,F AO R M Y AH L EY T,F AO R M Y AH L EY T AH D
7,0.7823894619941711,crumple,K R AH M P AH L,K R AH M P AH L D
7,0.7773515582084656,resettle,R IY S EH T AH L,R IY S EH T AH L D
7,0.7739325165748596,sparkle,S P AA R K AH L,S P AA R K AH L D
7,0.7698493599891663,stimulate,S T IH M Y AH L EY T,S T IH M Y AH L EY T IH D
7,0.7679677605628967,unshackle,AH N SH AE K AH L,AH N SH AE K AH L D
7,0.7605450749397278,recycle,R IY S AY K AH L,R IY S AY K AH L D
7,0.7328028082847595,embezzle,IH M B EH Z AH L,IH M B EH Z AH L D
7,0.7323209047317505,forestall,F AO R S T AO L,F AO R S T AA L D
7,0.7280569076538086,encircle,EH N S ER K AH L,IH N S ER K AH L D
7,0.7254160046577454,inoculate,IH N AA K Y AH L EY T,IH N AA K Y AH L EY T IH D
7,0.7070322632789612,belittle,B IH L IH T AH L,B IH L IH T AH L D
7,0.7066570520401001,demodulate,D IY M AA JH AH L EY T,D IY M AA JH AH L EY T AH D
7,0.6913118362426758,speculate,S P EH K Y AH L EY T,S P EH K Y AH L EY T IH D
7,0.691184937953949,reshuffle,R IY SH AH F AH L,R IY SH AH F AH L D
7,0.6902524828910828,rehabilitate,R IY HH AH B IH L AH T EY T,R IY HH AH B IH L AH T EY T IH D
